Sat Feb 23 13:58:12 +0000 2019,Surya891995,"b'RT @JanaSenaParty: JanaSena Chief @PawanKalyan Kurnool road show \n\nFebruary 24th, 2 PM. \n\nC Camp    , . ht'"
Sat Feb 23 13:58:23 +0000 2019,John_JanaSena,b'RT @SrinuIndian1: Pic-1: Candidates Selection process in Janasena.Ethics and policies \n\nPic-2: Candidate selection process in Corrupted par'
Sat Feb 23 13:58:26 +0000 2019,Powerstarascb,b'RT @Rockmotor3: Tomorrow pawan kalyan sir @PawanKalyan going to visit kurnool road show jai janasena https://t.co/sHfU7NBHNg'
Sat Feb 23 13:58:42 +0000 2019,Ravindr00083354,"b'RT @SriVijayaNagesh: ""  \n    \n   \n'"
Sat Feb 23 13:58:49 +0000 2019,KondaveetiRam,"b'RT @SriVijayaNagesh: ""  \n    \n   \n'"
Sat Feb 23 13:58:53 +0000 2019,vijaygadam,"b'RT @SriVijayaNagesh: ""  \n    \n   \n'"
Sat Feb 23 13:58:55 +0000 2019,suripkfan,"b'RT @thetimes24: Naidus TDP, Reddys YSR Congress JOINED Hands To Damage Pawan Kalyans JanaSena? - https://t.co/Weue5htBgh https://t.co/Ey'"
Sat Feb 23 13:59:08 +0000 2019,srihithbandaru,"b'RT @JanaSenaParty: JanaSena Chief @PawanKalyan Kurnool road show \n\nFebruary 24th, 2 PM. \n\nC Camp    , . ht'"
Sat Feb 23 13:59:30 +0000 2019,LSandela,b'RT @Sriniva11162886:    @IrfanPathan \n@sardhargabbarsing \n@UttarandhraNow @PawanKalyan\n@legend_celeb \njai janasena '
Sat Feb 23 13:59:31 +0000 2019,mosaligantis,"b'RT @SriVijayaNagesh: ""  \n    \n   \n'"
Sat Feb 23 13:59:32 +0000 2019,Nagsantosh3,"b'RT @SriVijayaNagesh: ""  \n    \n   \n'"
