True man of ap not like others.
BJP entrusted polavaram project for early completion by state. If it handled by centre ther are some other problems and center takes lot of time.  CM has done good job.
PK  took u turn about special category status. Now he asking for package. BJP brain child
pawan kalyan is very clear on the situation. As per Chandrababu he is tied up with BJP undercover. that is not true. pavan kalyan him self saying that there a complete negativity on BJP in AP. he has the clarity. He wont go with BJP in next 2019 election.
when will the national media realize south is part of india stay informed about whts going on here
Seems he will do Genuine politics and change the AP.
Pawan is good human being
Sab jooot bolta hai pm
Jhoota pm
Agar pm isi tarha behave karta rahegaa tho south India needs separate country
He never gave explanation why his brother had sold the earlier party to Congress.. Why So?? .Now he wants to make a modified version and sell it to BJP??
He never gave explanation why his brother had sold the earlier party to Congress.. Why So?? .Now he wants to make a modified version and sell it to BJP??
my god is pawan
"Pawan Kalyan's speeches are good to listen but useless in execution. He thinks he has a right to put baseless allegations on any one, but when it comes to him he is so concerned about his pseudo image and he can't take any criticism . ...Highly egoistic with double standards"
Pavankalyan is one of best leaders compare to other politicians honest person
pawan kalyan is sacrifing his film&personal life for the life's of new andhrapradesh. Thank you pawan sir
Only hope on Pawan with honest politics in AP ... Jaihind!!
good from pawan kalyan
Jai janasena
Pawan Kalyan's new sponsor-ers are BJP and YSRCP.
Where is last 4 years sleep in Hyderabad and not questioning his brother mp chiranjeevi sale 1 mla ticket for crores of rupees in 2009 and why fearing with modi
Pawan Kalyan is true person
exactly pawan Kalyan is the next CM of ap
His real person
Honest Always Stand Alone....Genuine & Truthful & Sincere & Responsive = Pawan Kalyan...
He is demigod to us ...
Jai janasena jai power star
True leader
TDP is Ap people heart beat
Pawankalyan is the only hope to AP ....we believe on only pawan sir....he is the clear person ...honest person...he don't have any cases...he is not corrupted person....
Ji Janasena
TDP highly corrupt party in our state Andhra we need change
Ap  people only hope pawan Kalyan.
Jai janasena
Pavan Kalyan maniya national chanal lo  cherindheee he is true leader
Tall claims and promises is bjp DNA... Go back to 2014 election campaign of the bjp all you'll find is empty promises. Bjp party is all about illusion and magic . Don't fall in love with a dreamer.....
Pavan kalyan andhra ni bhrastu pattisthunnadu.. Bjp thottu lamatladi... Andhra prajalani Bjp ki thakattu peduthunnadu...
Pawan Kalyan for Common People
"He is the only leader we trust in AP political Leaders ""Pawan Klalyan Garu"" He is Born for People..."
"Ha! Ha!! What a joke!! LoL 
Boss! Does Pawan has any idea who does the govt works? Finally these works are done by contractors only. Govt. employees do not built them, they only inspect. 
""Polavaram! where is the need for them to go the private contractors?  The governance of India has to build and finish it to the people? The moment they have taken it to the private contractors..."" - pawan"
Last Hope of Andhra Pradesh
Pawan kalyan is the one who raised  no confidence motion after jfc report. Now tdp and ysrcp r taking credit for that. Truth is pawan is the man behind it. Chandra babu naidu first opposed it and after jsp formation day he started it.
"he stated normal man views.  whether it is correct or not?  living life become costliest.   Top to bottom indulging corrupt activities for full filling their dreams.    dissatisfaction among public is correct as said pavan.  actually all parties failed to demand both central govts for Andhra interests. but tdp has most responsiblity to play important role.  TDP being big party failed to  play correct role while pre bifurcation and post bifurcation, regarding Andhra interests.  tdp has adopted failure methods."
Jai janasena
"He is the 1ly hope for AP
Actually no confidence Motion 1st 
Inciated person against BJP then 1ly YSRCP & TDP getting forcefully involved against BJP.
He supports BJP+TDP in 2014
Elections, without any expectations

But BJP denied there promises 
They get back there promises."
Corruption king chandrababu Naidu
Pawan Kalyan is feature of Ap
He is very genuine and honest person. He is the only hope for AP
Jai janasena
Jai Pawan kalyan
Pk is genuine leader
First question Modi Ra YS Pawan chamcha
Jai janasenaaa... pa1 sir we r with uuuu
Jai janasenaaa... pa1 sir we r with uuuu
proud to be follower of Pa1
We trust pawan
Jai janasena
"We support janasena
I support pawan kalyan
Jai janasena
Pawan kalyan true leader"
Jai janasena
I think he is nxt cm and forwards even place as pm bcoz he is good and gold than modiji
I am seeing this leader born from people... Game changer of andhrapradesh....he is the feuture of andhrapradesh politics.....
"PK is honest ....truthful leader ....he 
He said about lokesh there is some rumers is spreding he is also  
Involved in scams just check about him Mr chandrababu...he suggested.... like amith Shah SON having some rumers in public...."
CBN CORRUPTION WILL COME OUT LIKE JAGAN MOHAN REDDY...PK IS ONLY HOPE OF ANDHRAAA...WE CAN'T THRUST CBN AND JAGAN THIS GUYS DIRECTLY CORRUPT...IN PUBLIC THEY ENCURAGE LOCAL  FACTION .....
Pavan kalyan is Wright person and honest person
he is the only one leader in ap
Pawan Kalyan is best leader and Next CM
"Pawan kalyan is the only fearless man in entire India. No confidence motion was his idea, but this TDP and YCP took that idea for the their own opportunities and doing it just because they don't have any other options left now. It's pawan kalyan who changed the entire political situations now even without singal MLA or MP. He has been saying this from last 3 years that TDP or YCP is not fighting center because they are feared of their corruptions, he oppesed and said not to accept special package  but TDP accepted it. Now the same TDP is doing opportunist politics just because pawan kalyan slammed them for what mistake they have done."
"He is the fearless leader in ap, he don't have allegation and no way to surrend with bjp govt. People have hope on pawan kalyan. In ap govt has completely failed and every body knows about corruption in ap, pawan kalyan Is the only one leader in ap to fight with central govt to get all promises during bifurcation. Jagan n Cbn both are corrupted and have illegal money assets cases on both of them. PK sponsored 50lacs of  his own money during the cyclones in North India and no other politicans in ap were not helped the victims. They always fight for there  dusty politics and no body is happy from last 20years for there caste based politics in ap. Jai Hind"
what ans given by pk ??for do u have any proof???
Pawan Kalyan only hope for Andhra.
Real Leader
PAWAN KALYAN (THE HOPE OF AP)
only Pawankalyan will do justice to the people of Andhra Pradesh because he has large fan following. People has faith in him due to his unselfish nature.
Only one hope for Andhra is Pawan Kalyan....
Pawan Is the only hope of AP . we support him for ever
BJP se related koi b buri khabr ho to NDTV wale raat bhr jaag ke news dikhaenge
"Pawan kalyan is imran Khan of andhra 
He married 3 times 
This idiot can't succeed in politics"
Only one guy is fearless... need more like him....
Honest leader pavan Kalyan
Pavan kalyan definitely change the corrupted politics in andhra pradesh and also caste based politics 2019.. Jai janasena jai lok satha
My dear national media. Jana Sena party cheif Pawan Kalyan is very honest and helpful person. He is the ray of hope
Jai janasena
good to see pawan is coming in jagan way
Only hope for AP
Pawan is genuine person and chandra babu and jagan are corruption kings
janasena.✌️
the only hope left for Andhra Pradesh... Pawan Kalyan..♥️
"he is the next cm..,✌️"
andhra people's hope pavan kalyaan only
true leader
We are hoping pawan kalyan. I never seen any politician like pawan.. he is very fearless and not corrupted not like other politicians.. sir we need u not only for the ap.. we want u for the entire country..
The Messiah of Telugu People....More strength to him.... Intensely Genuine Leader
Only hope for Andhra Pradesh is Pawan Kalyan. He is the only genuine person.
Jai janasena.
"jagan is fully corrupt..  
total India know his corruption. 
shame on Andhra people .
who are supporting this culprit."
pawan Kalyan super leader
Jai janasena
He is the only hope for AP a genuine leader and honest man
Pavan is comedian person in ap
Pawan Kalyan...Fearless Leader of AP
"Pawan Kalyan is a real leader like Bagath Singh, people remember him for centuries..."
IN Andhra pradesh People are got frustrated with ELections and vote bank politics kindly make sure that we are going to blast to central BJP.....
PK is the only hope for AP
"The karnataka elections result will change your mood again towards to the bjp , jai hind , jai namo ."
Genuine and honest leader in AP
"he s the one and only real hero of south india , ... very low profile maintaining , simplicity , honesty ,caring for the society makes him great in telugu ppl...jai pawanism ...jai janasenaa..."
"only leader work for people,great person gave crores money to poor people."
He's plan b f bjp.... Sentiment is negative....Dts y he's not revealing d facts nor even questioning unfulfilled promises f bjp....Its in blood to divide votes n I'm n ppl R sure dt he too like chrnjvi join d bjp or Cong
He's waste fellow from AP...Dividing d votes n then joining Cong or bjp is in blood
"Jagan proved his sincereity already, if pavan unites with Jagan, it will be beneficial for our AP state. CBN only good at spreading false propoganda against rivals through media like ABN, ETV, etc"
Kingmaker
Jai Janasena
Pawankalyan True Leader
he is good leader and he is  always thinks about people
Future CM pawan kalyan
"In public domain lot of bad talk about powan kalyan family regarding his bro party mla tkt collection,his marriages,his mental attitude and stand less talking, heroine cast couch ;are these all  true ? 
his brother is better than he 
he does not think practical all his thoughts are mythological stories which are not true in practical ,he is correct as soldier not a king why becos king need braint to solve problems but soldier not"
True leader - Pawan Kalyan
"He's just making his fans fools just like his brother did earlier


Pawan Kalyan even if polavaram is with central government it should be constructed by private contractors it's not like you and your illogical illiterate fans go and build 

Please get script from good writers you're just a fool package pawan"
PK will be new CM for AP.
pawan  isperfect leader fight for ap
Jai janasena
He is very genuine person
He is one & only last hope of our Andhra...
"He is fearless person, he is real true people leader"
National Media should focus in all states problems in entire INDIA
"I love pawan kalyan but the way hs behave i think bjp supporting him back side
If kalyan made such stupid allegations without proof all are say him idiot...
I never expect him to take such a stupid move.
He has too blame bjp because it did mistake.
He is same as his brother"
Jai PK Kai JSP
Real leader  pk
Strong and clear
"Janasena lekunte e special status issue inta highlight ayyedi kadu
evaru opkunna lekunna THIS Z THE FACT"
Pawan Kalyan  is not corrupted like other politicians.he has  clean image.there is a third alternate in andhra.we believe pawan full fil that gap.
Chandrababu is a drama leader
Pawan kalyan One of the best leader in india & he is awarded as the best tax payer in Andrapradesh.
jenis the hope for ap...hez a brave leader....
Our next cm pawankalyan...
PAWAN KALYAN is great fearless godhearted human
Edchadu .
Pawan kalyan plans and boomerang strategy which failed and hit him back soon . As he is supporting the failed parties and commenting on working people
Now I Am Greatly Believes that the Pawankalyan is Frank& more than Guts..... I welcomes a good politician
Its so surprising he was chiranjivi bro but not aware of things happened in praja rajyam.. people just fool common man
Jai Jana Sena....
Pawankalyan is next cm
Jai janasena
Chandra babu is most corrupted cm ever. .
U r on public platform and you got no right to say fluke statement. It should be well stated along with numbers and proof.
No proof ???
"PK failed to understand true nature of TDP and BJP but campaigned in 2014 elections. Now he realise, how immature he is."
He is the only Guy & only Hope for Andhra Pradesh People. True & Honest Leader...
Pawan kalyan .. always be honest like this.. dont become like other politicians!!
420 jagan and cbn corruption king's
"Andhra state ACB is catching corrupt officials (who have been in chair since many years). Now this guie is blaming Andhra govt 'for being corrupt'.What a logic. He has no proof that Naidu's son is corrupt.
Instead of exposing Center in front of national media for failing to fulfill Andhra vision bill & promises made in Parliament during division, PK is diverting the topic to state politics."
Lol CBN though a visionary leader  has been Corrupt and opportunist throughout his career.
"This guy is fearless,can u believe a guy who just launched the party had directly exposed cm n his sons
Everyone is busy making criticism on him but the fact he is awakening the people of Andhra silently...most importantly he is bringing conservative politics,he is believing in political accountability he may win or loose but there is a hope that someone is questioning for people keeping power politics aside
Waiting for 2019 election"
Next AP CM Jagan
